Emoji,Emotion
😂,laughing
😍,love
😭,crying
😘,kiss
😊,smiling
😁,grinning
😩,weary
🙏,thank you
😏,smirk
😉,wink
🙌,celebrate
🙈,see no evil
😄,smiling
😒,unamused
😃,smiling
😔,sad
😱,fear
😜,joking
😳,flushed
😡,angry
😎,cool
😢,crying
😋,delicious
🙊,speak no evil
😴,sleepy
😌,relieved
😞,disappointed
😆,laughing
😝,joking
😪,sleepy
😫,tired
😅,smiling
😀,grinning
😚,kiss
😻,love
😥,disappointed
😕,confused
😤,triumph
😈,evil laugh
😰,scared
😑,expressionless
😹,tears of joy
😠,angry
😓,dissapointment
😣,helplessness
😐,ok
😨,fear
😖,confound
😷,mask
🙋,me
😛,joking
😬,awkward
😙,kiss
🙆,ok
🙅,no
🙉,hear no evil
😇,bless
😿,crying
😲,astonished
😶,loss of words
😵,dizzy
😸,grinning
😧,anguished
😮,understood
😽,kiss
🙀,fear
🙇,grateful
😟,worried
😯,hushed
😦,frown
🙍,frown
😺,smiling
😾,angry
😼,smirk
🙎,angry
😗,kissing
🤩,excited
🤗,hugging
